ID,Name,Age,Nationality,Potential,Club,Value,Wage,Weak Foot,Skill Moves,Jersey Number,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
180206,M. Pjanić,28,Bosnia Herzegovina,86,Juventus,€44M,€180K,4,3,5,80,60,60,89,72,86,86,85,89,66,66,77,84,79,78,78,66,82,70,78,70,79,86,75,74,70,7,7,13,7,8,€72.6M
177509,M. Benatia,31,Morocco,86,Juventus,€30M,€160K,3,2,4,45,47,83,65,44,64,34,65,64,65,75,59,82,53,66,69,91,24,86,86,38,41,82,89,87,85,7,4,8,7,11,€49.5M
176635,M. Özil,29,Germany,86,Arsenal,€43.5M,€190K,2,4,10,83,73,54,89,80,84,84,82,90,72,69,79,84,70,70,69,57,75,48,24,83,67,82,24,16,19,6,14,10,6,14,€82.7M
135507,Fernandinho,33,Brazil,86,Manchester City,€18M,€185K,4,3,25,68,69,63,85,74,77,70,81,82,68,67,72,86,78,83,79,76,78,87,88,70,61,79,85,85,80,12,11,5,13,7,€33.3M
41,Iniesta,34,Spain,86,Vissel Kobe,€21.5M,€21K,4,4,8,77,70,54,90,74,90,80,85,92,70,67,79,86,84,65,55,58,71,58,66,81,71,89,67,57,56,6,13,6,13,7,€26.9M
232363,M. Škriniar,23,Slovakia,92,Inter,€46.5M,€82K,4,2,37,40,42,80,70,40,59,34,68,67,70,73,48,81,48,50,77,83,30,86,86,30,56,80,92,88,82,10,13,12,8,12,€88.4M
223848,S. Milinković-Savić,23,Serbia,90,Lazio,€50.5M,€73K,4,4,21,64,80,86,85,74,86,78,85,87,68,70,66,80,59,83,85,88,80,73,78,79,56,82,75,77,72,7,10,7,16,7,€89.6M
220834,Marco Asensio,22,Spain,92,Real Madrid,€54M,€215K,3,4,10,82,82,50,83,79,86,83,82,85,85,82,79,82,76,86,76,61,88,45,45,82,62,83,40,42,39,13,9,6,12,10,€121.5M
216594,N. Fekir,24,France,89,Olympique Lyonnais,€50M,€92K,3,4,18,83,82,49,83,77,90,81,75,89,79,79,90,80,91,84,80,82,82,73,28,81,81,89,31,37,25,15,9,8,14,15,€98.8M
212831,Alisson,25,Brazil,90,Liverpool,€36.5M,€115K,3,1,13,17,13,19,45,20,27,19,44,30,54,45,40,84,37,21,32,78,14,27,11,13,23,65,15,19,16,83,81,85,84,88,€72.1M
212622,J. Kimmich,23,Germany,88,FC Bayern München,€40.5M,€92K,4,3,18,90,66,74,85,61,80,81,80,85,78,68,84,85,83,75,85,65,69,74,79,80,44,82,75,81,79,8,15,7,15,15,€69.9M
208421,Saúl,23,Spain,90,Atlético Madrid,€50.5M,€77K,4,3,6,69,78,83,85,76,83,72,83,85,74,73,76,82,69,78,86,77,79,69,78,82,55,83,77,79,76,7,13,12,10,9,€107.3M
204485,R. Mahrez,27,Algeria,85,Manchester City,€40.5M,€205K,4,5,26,81,80,48,82,72,91,84,76,90,88,83,93,77,88,79,76,54,81,48,39,80,73,86,45,31,18,15,9,13,11,6,€74.9M
197445,D. Alaba,26,Austria,87,FC Bayern München,€38M,€110K,4,3,8,81,63,75,82,68,79,78,80,83,79,86,79,84,77,83,87,71,82,69,84,76,80,79,80,82,80,5,7,14,15,9,€65.6M
193747,Koke,26,Spain,86,Atlético Madrid,€45M,€88K,4,3,8,86,72,61,90,56,82,85,89,86,71,68,74,85,78,84,90,79,81,71,66,84,59,78,80,69,51,14,12,5,10,13,€95.6M
193301,A. Lacazette,27,France,86,Arsenal,€45M,€180K,4,4,9,64,88,73,80,81,85,74,59,83,81,84,85,85,85,83,79,73,75,70,42,86,84,85,29,42,30,11,6,9,5,6,€88.9M
192774,K. Manolas,27,Greece,87,Roma,€37.5M,€96K,2,2,4,27,10,80,60,16,54,30,61,65,80,85,68,85,59,40,76,82,12,86,86,25,26,79,86,87,89,8,6,8,15,12,€66.6M
192366,N. Otamendi,30,Argentina,85,Manchester City,€28.5M,€170K,3,2,30,52,54,85,75,57,51,50,72,70,57,61,64,79,62,69,67,80,56,91,84,51,45,80,83,85,84,12,5,8,11,12,€52.7M
189513,Parejo,29,Spain,85,Valencia CF,€37M,€66K,4,3,10,84,79,61,90,72,78,89,87,84,51,43,66,78,72,78,78,72,82,58,81,81,83,78,69,68,60,5,9,12,14,8,€77.7M
187961,Paulinho,29,Brazil,85,Guangzhou Evergrande Taobao FC,€37M,€235K,3,3,9,64,81,85,84,75,82,66,80,84,73,73,69,84,66,83,92,81,80,81,81,84,71,80,75,81,73,16,16,11,6,8,
186153,W. Szczęsny,28,Poland,87,Juventus,€32M,€125K,3,1,1,12,12,16,32,14,11,16,36,22,51,47,55,82,51,15,45,65,14,40,15,14,18,65,20,13,12,85,81,71,85,87,€55.2M
184941,A. Sánchez,29,Chile,85,Manchester United,€37.5M,€215K,3,4,7,77,80,73,77,83,87,79,75,86,86,79,90,83,87,84,83,72,81,79,46,84,77,84,38,44,35,10,10,15,12,13,€69.4M
184267,Y. Brahimi,28,Algeria,85,FC Porto,€39M,€28K,3,4,8,79,76,46,79,73,93,84,72,86,87,75,92,84,87,69,85,49,76,46,38,83,75,90,51,36,25,13,16,12,7,7,€78M
183907,J. Boateng,29,Germany,85,FC Bayern München,€30M,€115K,4,2,17,69,34,85,75,52,64,53,83,70,67,72,56,82,52,78,69,91,58,81,81,47,46,84,84,87,87,7,12,15,6,5,€49.5M
181872,A. Vidal,31,Chile,85,FC Barcelona,€26M,€205K,4,3,8,76,75,82,83,78,76,76,79,82,60,55,74,84,75,86,83,79,85,93,84,80,81,81,82,87,86,4,2,4,2,4,€53.3M
181458,I. Perišić,29,Croatia,85,Inter,€37.5M,€110K,5,4,44,83,79,80,81,81,84,73,77,85,84,88,78,81,74,84,89,78,79,65,69,85,76,80,64,52,54,6,7,10,9,6,€63.8M
180930,E. Džeko,32,Bosnia Herzegovina,85,Roma,€30.5M,€115K,5,2,9,63,89,84,77,77,76,65,72,84,65,66,57,83,36,86,76,80,79,51,50,89,67,83,58,28,16,9,11,13,15,15,€51.9M
179846,S. Khedira,31,Germany,85,Juventus,€33M,€160K,4,2,6,72,72,76,85,78,81,68,82,84,54,60,55,87,54,82,78,87,78,82,86,79,69,84,80,83,76,11,9,5,15,8,€54.5M
179844,Diego Costa,29,Spain,85,Atlético Madrid,€38.5M,€100K,4,2,19,65,87,82,65,81,77,62,52,83,74,76,58,85,53,83,76,92,74,93,40,87,75,83,58,39,34,11,13,12,8,11,€78.9M
178518,R. Nainggolan,30,Belgium,85,Inter,€35.5M,€105K,3,3,14,73,75,59,84,75,80,73,81,85,78,73,76,87,82,84,93,77,86,88,86,86,63,84,83,86,90,11,11,14,8,11,€60.4M
171919,Naldo,35,Brazil,85,FC Schalke 04,€9M,€38K,4,2,29,45,57,94,76,60,60,52,70,68,60,65,46,85,36,92,61,83,82,72,83,53,60,84,86,88,85,14,10,14,8,14,€15.3M
170890,B. Matuidi,31,France,85,Juventus,€26M,€145K,2,2,14,75,64,68,83,72,78,65,77,79,79,77,83,84,79,78,94,76,70,86,86,72,56,82,85,84,86,8,11,5,10,14,€42.9M
168609,Miranda,33,Brazil,85,Inter,€15.5M,€96K,3,2,23,48,43,80,70,51,67,32,69,73,66,69,61,81,57,70,65,79,41,83,85,43,49,81,90,90,85,12,6,10,13,12,€26.4M
165153,K. Benzema,30,France,85,Real Madrid,€37M,€240K,4,4,9,75,81,80,83,82,83,79,62,86,76,76,76,83,66,81,75,80,75,65,22,86,82,79,47,15,12,13,11,5,5,7,€75.9M
164169,Filipe Luís,32,Brazil,85,Atlético Madrid,€21.5M,€81K,3,3,3,86,59,72,80,56,77,74,77,83,76,75,75,85,62,71,89,74,60,81,84,71,65,88,78,84,86,11,15,9,9,5,€44.1M
139720,V. Kompany,32,Belgium,85,Manchester City,€22M,€170K,3,2,4,61,45,84,73,46,63,61,66,70,52,59,57,87,41,75,66,87,55,87,82,41,63,81,87,85,84,10,9,5,8,6,€40.7M
120533,Pepe,35,Portugal,85,Beşiktaş JK,€9M,€57K,3,2,3,46,46,80,70,23,58,44,61,62,65,70,63,83,49,63,60,86,56,94,85,40,57,79,86,85,82,8,15,5,9,10,€17.1M
41236,Z. Ibrahimović,36,Sweden,85,LA Galaxy,€14M,€15K,4,5,9,73,86,83,79,86,79,82,73,84,58,59,75,82,39,90,61,86,82,84,20,85,89,90,28,37,24,13,15,10,9,12,€21M
220793,D. Sánchez,22,Colombia,88,Tottenham Hotspur,€34M,€105K,3,2,23,36,40,80,77,28,63,30,67,73,72,79,60,80,55,66,76,83,44,87,82,34,44,75,84,85,88,9,7,10,6,15,€65.5M
216460,J. Giménez,23,Uruguay,88,Atlético Madrid,€34M,€63K,3,2,24,47,37,81,68,30,47,36,58,56,69,70,56,76,43,72,67,85,48,89,85,24,38,73,88,86,87,9,11,7,10,15,€72.3M
212462,Alex Telles,25,Brazil,87,FC Porto,€32M,€22K,2,3,13,89,65,74,83,67,82,87,86,82,84,85,73,83,70,80,92,68,75,78,80,76,68,80,80,81,79,13,8,12,11,14,€66.4M
212218,A. Laporte,24,France,88,Manchester City,€34M,€135K,3,2,14,58,45,85,76,40,59,61,78,73,62,66,45,83,55,68,67,82,47,75,85,54,44,77,85,86,87,10,11,5,14,5,€65.5M
212198,Bruno Fernandes,23,Portugal,88,Sporting CP,€40.5M,€22K,3,4,8,84,73,58,85,84,83,85,82,85,79,76,77,84,78,87,89,67,88,65,70,79,81,83,63,66,53,12,14,15,8,14,€84M
212190,N. Süle,22,Germany,90,FC Bayern München,€36.5M,€84K,3,2,15,30,20,86,78,31,42,28,63,63,52,84,33,79,33,77,65,94,62,82,82,26,32,72,82,85,83,15,7,14,7,15,€67.5M
211300,A. Martial,22,France,90,Manchester United,€42.5M,€165K,3,4,11,76,84,69,77,74,87,84,60,86,88,89,85,81,81,84,75,75,80,58,42,83,81,79,38,39,36,9,8,8,15,11,€87.1M
211117,D. Alli,22,England,90,Tottenham Hotspur,€42.5M,€115K,3,4,20,69,83,77,85,79,83,75,80,85,73,76,76,85,62,78,90,71,80,84,74,86,74,86,70,70,63,7,6,9,11,8,€87.1M
209499,Fabinho,24,Brazil,88,Liverpool,€34M,€120K,2,3,3,79,66,75,83,47,76,71,78,82,69,72,69,83,67,78,92,79,65,85,84,70,91,84,83,86,84,13,12,6,8,8,€67.2M
207865,Marquinhos,24,Brazil,89,Paris Saint-Germain,€35.5M,€90K,3,2,5,72,33,80,81,31,59,49,78,76,73,76,69,81,68,53,75,74,35,80,84,46,31,79,85,87,87,6,6,12,10,13,€68.3M
207566,William Carvalho,26,Portugal,86,Real Betis,€31.5M,€38K,4,3,14,68,52,73,84,50,80,79,86,79,49,53,51,75,51,59,84,90,55,75,84,64,60,89,84,85,68,6,6,5,14,14,€68.5M
205498,Jorginho,26,Italy,87,Chelsea,€38M,€155K,3,3,8,75,57,56,89,71,82,75,87,85,75,69,80,83,73,71,79,66,62,79,78,72,84,79,63,78,70,14,7,13,14,8,€73.2M
204970,F. Thauvin,25,France,87,Olympique de Marseille,€39M,€72K,3,4,20,83,81,75,83,74,85,86,76,86,87,80,86,83,71,83,83,66,82,56,42,83,74,82,46,29,31,8,11,14,10,9,€77M
204963,Carvajal,26,Spain,87,Real Madrid,€31.5M,€185K,3,3,2,83,41,70,81,34,76,72,71,83,79,84,81,82,79,64,84,74,36,81,83,61,45,77,83,83,85,13,13,15,9,15,€66.9M
202556,M. Depay,24,Netherlands,89,Olympique Lyonnais,€42M,€93K,3,5,10,79,79,65,80,74,85,85,74,85,87,87,82,79,79,87,79,80,81,76,28,83,75,79,29,31,20,8,14,6,12,10,€83M
200104,H. Son,25,Korea Republic,85,Tottenham Hotspur,€37M,€125K,5,4,7,78,85,65,79,79,88,81,64,85,88,87,82,84,76,86,85,63,88,60,39,85,71,82,48,34,33,11,13,13,6,10,€71.2M
199482,A. Lopes,27,Portugal,86,Olympique Lyonnais,€25M,€72K,2,1,1,19,18,16,32,13,15,15,31,21,63,64,67,84,62,20,36,73,18,43,25,9,16,65,13,15,13,86,80,75,81,88,€49.4M
198176,S. de Vrij,26,Netherlands,86,Inter,€31.5M,€88K,4,2,14,49,25,80,71,27,63,45,71,71,67,69,61,80,59,65,66,80,60,78,87,32,41,82,88,87,83,8,10,7,14,13,€55.9M
198009,M. Perin,25,Italy,89,Juventus,€29.5M,€105K,3,1,22,11,11,12,33,19,19,15,31,23,57,56,70,79,30,23,30,52,17,25,19,12,21,65,20,12,19,81,85,71,79,90,€50.9M
193082,J. Cuadrado,30,Colombia,84,Juventus,€29.5M,€150K,3,5,11,80,67,58,80,70,90,78,69,85,89,93,91,80,82,84,78,61,80,78,62,78,65,80,63,70,74,5,5,13,6,9,€48.7M
192629,Iago Aspas,30,Spain,84,RC Celta,€30M,€45K,3,3,17,80,88,78,79,83,86,80,64,85,85,78,87,85,74,79,75,60,82,63,39,86,82,85,39,21,18,12,16,9,12,13,€63M
192563,B. Leno,26,Germany,87,Arsenal,€27M,€115K,4,1,12,9,9,13,45,10,16,9,40,22,46,52,52,80,44,23,43,68,14,28,22,7,23,66,27,15,18,84,82,75,85,82,€53.3M
191202,N. Matić,29,Serbia,84,Manchester United,€24M,€165K,3,3,31,71,64,74,84,73,80,72,83,79,52,59,44,83,50,83,84,85,75,80,86,69,64,84,83,84,75,7,15,12,14,9,€44.4M
190941,L. Hrádecký,28,Finland,84,Bayer 04 Leverkusen,€22M,€74K,3,1,1,11,11,11,15,9,10,11,20,20,38,44,43,83,39,14,34,55,14,31,18,9,20,48,10,10,13,85,79,68,82,88,€37.4M
190584,Illarramendi,28,Spain,84,Real Sociedad,€31M,€51K,3,4,4,68,72,51,86,58,78,76,82,83,66,57,71,84,75,69,77,68,76,76,87,79,50,79,69,83,80,15,7,11,14,12,€65.1M
188377,K. Walker,28,England,84,Manchester City,€24.5M,€165K,2,2,2,81,51,74,78,57,79,76,67,78,86,93,67,83,72,86,89,75,69,78,81,67,63,75,78,84,83,12,6,16,15,8,€45.3M
186942,I. Gündoğan,27,Germany,84,Manchester City,€32M,€175K,4,4,21,74,73,50,88,75,85,81,83,86,67,68,78,85,78,77,69,72,73,70,77,79,76,87,73,68,64,11,14,5,5,13,€59.2M
185020,José Callejón,31,Spain,84,Napoli,€27.5M,€105K,3,3,7,82,78,65,80,84,82,73,51,85,88,89,85,82,80,78,91,55,80,54,40,88,62,79,64,32,32,8,5,14,11,11,€46.8M
183898,A. Di María,30,Argentina,84,Paris Saint-Germain,€29.5M,€125K,2,5,11,83,72,51,82,77,86,84,79,85,85,84,92,80,77,83,73,60,77,73,38,82,73,82,35,59,56,10,7,11,12,11,€54.6M
181783,M. Mandžukić,32,Croatia,84,Juventus,€25M,€160K,3,3,17,72,84,90,75,86,76,64,67,77,67,73,67,86,53,80,83,85,60,88,66,90,76,80,59,64,64,10,8,5,8,15,€41.3M
180403,Willian,29,Brazil,84,Chelsea,€30.5M,€175K,4,4,22,76,77,31,80,59,88,82,77,84,91,86,89,82,79,79,85,60,81,44,55,80,70,79,43,57,51,14,12,13,7,13,€56.4M
178750,Sergio Asenjo,29,Spain,85,Villarreal CF,€24M,€42K,3,1,1,24,14,13,39,15,15,23,39,14,59,54,62,79,58,24,41,73,13,20,22,12,15,64,24,15,14,85,83,77,82,84,€52.2M
178562,E. Banega,30,Argentina,84,Sevilla FC,€29M,€31K,4,4,10,80,66,49,88,65,84,83,87,86,68,64,79,77,83,74,74,67,78,73,76,75,78,80,75,69,64,13,8,7,7,10,€60.9M
177413,A. Witsel,29,Belgium,84,Borussia Dortmund,€24M,€77K,4,4,6,69,71,80,89,77,78,69,79,84,67,74,78,84,60,78,86,82,74,82,80,75,81,89,80,79,85,5,7,7,10,7,€40.8M
177388,D. Payet,31,France,84,Olympique de Marseille,€27.5M,€75K,4,4,18,87,78,59,84,77,86,90,80,90,75,72,79,75,80,80,73,72,82,57,37,79,74,82,32,36,39,11,15,9,14,12,€52.3M
176769,Jonas,34,Brazil,84,SL Benfica,€16.5M,€25K,5,3,10,70,88,84,76,85,84,85,75,88,65,64,77,85,69,84,66,63,85,61,34,87,84,87,31,36,25,12,11,7,8,5,€33M
172879,Sokratis,30,Greece,84,Arsenal,€23M,€140K,2,2,19,47,44,85,60,46,58,29,51,58,64,73,60,81,64,77,69,86,48,88,77,49,24,82,85,87,85,6,8,5,12,5,€43.7M
167628,S. Ruffier,31,France,84,AS Saint-Étienne,€19M,€41K,3,1,16,11,11,12,33,13,12,17,34,15,45,50,51,78,55,21,37,76,11,31,25,12,25,66,13,12,11,82,84,77,85,82,€36.1M
167397,Falcao,32,Colombia,84,AS Monaco,€25M,€115K,4,3,9,55,86,89,79,84,75,83,58,82,69,66,76,85,75,79,68,75,80,75,41,88,81,87,39,42,19,10,13,6,9,5,€47.5M
